start	end	text
0	2160	我們做公司做內容做了很久了
2160	5440	所以說有一些解律是我們在我們做內容的過程之中
5440	6720	慢慢感受到的
6720	10160	所以今天相當於給大家來做一個解釋的分享
10160	14640	那創意的投入和產出比是將最不備等的東西
14640	17240	這應該是我們三年前開始意識到的
17240	21000	就是別的行業可能努力會回報
21000	23560	但是內容行業從來都不是這樣
23560	25360	未來更不會是這樣
25360	29600	大家已經看到現在AIM模型本身進發的速度非常非常之快
30520	32960	所以我個人感覺就是
32960	37880	在明年AI生成的這個行為會比實際拍攝會更多
37880	39360	這是我的一個預判
39360	42640	那在這個情況之下你會發現你以前學的拍攝技術
42640	46360	你學的各種技術其實本質上是在慢慢消亡掉
46360	48320	它不再存在一個本質的地雷
48320	50600	我們之所以每個人能夠成為一個
50600	52360	在社會上面能夠自主的個體
52360	54800	是因為我們都具有一定的不可期待性
54800	56680	不管是我們學了一個技術
56680	58280	還是學了剪輯
58280	59680	學了某個軟件
59680	61720	但是當AI技術本身追上來以後
61720	64280	你會發現你的技術壁壘是不存在的
64280	67240	所有人都可以做你想做的內容
67240	73200	所以這個時代你會發現技術學習本身是會快速淘汰的
73200	77000	那創意這個東西是更殘酷的一件事情
77000	81040	就是創意和努力沒有關係
81040	82440	創意是一種感覺
82440	83800	創意是一種散
83800	85280	怎麼樣訓練你的創意
85280	87320	我覺得唯一的方法就是多看
87320	91080	你得像把自己當成AI訓練一樣看超級大量的視頻
91080	95160	超級多的搞笑的扯淡的亂七八糟視頻
95160	98520	才能把你訓練成一個獨一無二的創意大腦
98520	101520	所以如果說各位你們這幾年前要去提升自己
101520	105320	我建議你去嘗試多看視頻思考
105320	108280	為什麼這個視頻能讓50萬人看
108280	110880	為什麼這個視頻能讓5000萬人看
110880	114000	相比於學一個單純的軟件的應用
114000	117200	我認為在接下來的時代會更有價值一點
117200	118800	這是我個人的判定
118800	120880	所以創意投入產出筆
120880	122520	是世界上最不對等的東西
122520	125280	這是我們團隊的感知
125280	126320	非常殘酷
126320	127520	就是真的非常殘酷
127520	129400	這個說的是很清漂亮的一句話
129400	132040	但是就是殘酷只是難以想像的
132040	134480	在一到兩年後就會出現
134480	137240	所以我覺得各位就是
137240	139640	也是可以作為參考
139640	142400	好那麼
142400	144360	第二個點
144360	146240	好的作品和賺錢
146240	148440	是沒有直接關聯的
148440	152840	這個觀點其實是很多工程師通常會
152840	154840	不一定完全認可
154840	158000	但是我個人感覺是這幾年做下來就是這樣
158000	160080	就是你做的那種好和榮收
160080	163800	其實真的沒有本質上的關係
163800	165640	營收是一個多維的東西
165640	167320	我就舉個例子
167320	169360	比如說
169360	170360	比如說
170360	174680	我要怎麼樣說這個東西又冒犯大家呢
174680	176400	你們覺得你們參體現算了
176400	178960	不拿你們舉例子
178960	179960	好
