start	end	text
0	2160	我们做公司做内容做了很久了
2160	5440	所以说有一些解律是我们在我们做内容的过程之中
5440	6720	慢慢感受到的
6720	10160	所以今天相当于给大家来做一个解释的分享
10160	14640	那创意的投入和产出比是将最不备等的东西
14640	17240	这应该是我们三年前开始意识到的
17240	21000	就是别的行业可能努力会回报
21000	23560	但是内容行业从来都不是这样
23560	25360	未来更不会是这样
25360	29600	大家已经看到现在AIM模型本身进发的速度非常非常之快
30520	32960	所以我个人感觉就是
32960	37880	在明年AI生成的这个行为会比实际拍摄会更多
37880	39360	这是我的一个预判
39360	42640	那在这个情况之下你会发现你以前学的拍摄技术
42640	46360	你学的各种技术其实本质上是在慢慢消亡掉
46360	48320	它不再存在一个本质的地雷
48320	50600	我们之所以每个人能够成为一个
50600	52360	在社会上面能够自主的个体
52360	54800	是因为我们都具有一定的不可期待性
54800	56680	不管是我们学了一个技术
56680	58280	还是学了剪辑
58280	59680	学了某个软件
59680	61720	但是当AI技术本身追上来以后
61720	64280	你会发现你的技术壁垒是不存在的
64280	67240	所有人都可以做你想做的内容
67240	73200	所以这个时代你会发现技术学习本身是会快速淘汰的
73200	77000	那创意这个东西是更残酷的一件事情
77000	81040	就是创意和努力没有关系
81040	82440	创意是一种感觉
82440	83800	创意是一种散
83800	85280	怎么样训练你的创意
85280	87320	我觉得唯一的方法就是多看
87320	91080	你得像把自己当成AI训练一样看超级大量的视频
91080	95160	超级多的搞笑的扯淡的乱七八糟视频
95160	98520	才能把你训练成一个独一无二的创意大脑
98520	101520	所以如果说各位你们这几年前要去提升自己
101520	105320	我建议你去尝试多看视频思考
105320	108280	为什么这个视频能让50万人看
108280	110880	为什么这个视频能让5000万人看
110880	114000	相比于学一个单纯的软件的应用
114000	117200	我认为在接下来的时代会更有价值一点
117200	118800	这是我个人的判定
118800	120880	所以创意投入产出笔
120880	122520	是世界上最不对等的东西
122520	125280	这是我们团队的感知
125280	126320	非常残酷
126320	127520	就是真的非常残酷
127520	129400	这个说的是很清漂亮的一句话
129400	132040	但是就是残酷只是难以想像的
132040	134480	在一到两年后就会出现
