start	end	text
0	2160	我們做公司做內容做了很久了
2160	5440	所以說有一些解律是我們在我們做內容的過程之中
5440	6720	慢慢感受到的
6720	10160	所以今天相當於給大家來做一個解釋的分享
10160	14640	那創意的投入和產出比是將最不備等的東西
14640	17240	這應該是我們三年前開始意識到的
17240	21000	就是別的行業可能努力會回報
21000	23560	但是內容行業從來都不是這樣
23560	25360	未來更不會是這樣
25360	29600	大家已經看到現在AIM模型本身進發的速度非常非常之快
30520	32960	所以我個人感覺就是
32960	37880	在明年AI生成的這個行為會比實際拍攝會更多
37880	39360	這是我的一個預判
39360	42640	那在這個情況之下你會發現你以前學的拍攝技術
42640	46360	你學的各種技術其實本質上是在慢慢消亡掉
46360	48320	它不再存在一個本質的地雷
48320	50600	我們之所以每個人能夠成為一個
50600	52360	在社會上面能夠自主的個體
52360	54800	是因為我們都具有一定的不可期待性
54800	56680	不管是我們學了一個技術
56680	58280	還是學了剪輯
58280	59680	學了某個軟件
59680	61720	但是當AI技術本身追上來以後
61720	64280	你會發現你的技術壁壘是不存在的
64280	67240	所有人都可以做你想做的內容
67240	73200	所以這個時代你會發現技術學習本身是會快速淘汰的
73200	77000	那創意這個東西是更殘酷的一件事情
77000	81040	就是創意和努力沒有關係
81040	82440	創意是一種感覺
82440	83800	創意是一種散
83800	85280	怎麼樣訓練你的創意
85280	87320	我覺得唯一的方法就是多看
87320	91080	你得像把自己當成AI訓練一樣看超級大量的視頻
91080	95160	超級多的搞笑的扯淡的亂七八糟視頻
95160	98520	才能把你訓練成一個獨一無二的創意大腦
98520	101520	所以如果說各位你們這幾年前要去提升自己
101520	105320	我建議你去嘗試多看視頻思考
105320	108280	為什麼這個視頻能讓50萬人看
108280	110880	為什麼這個視頻能讓5000萬人看
110880	114000	相比於學一個單純的軟件的應用
114000	117200	我認為在接下來的時代會更有價值一點
117200	118800	這是我個人的判定
118800	120880	所以創意投入產出筆
120880	122520	是世界上最不對等的東西
122520	125280	這是我們團隊的感知
125280	126320	非常殘酷
126320	127520	就是真的非常殘酷
127520	129400	這個說的是很清漂亮的一句話
129400	132040	但是就是殘酷只是難以想像的
132040	134480	在一到兩年後就會出現
134480	137240	所以我覺得各位就是
137240	139640	也是可以作為參考
139640	142400	好那麼
142400	144360	第二個點
144360	146240	好的作品和賺錢
146240	148440	是沒有直接關聯的
148440	152840	這個觀點其實是很多工程師通常會
152840	154840	不一定完全認可
154840	158000	但是我個人感覺是這幾年做下來就是這樣
158000	160080	就是你做的那種好和榮收
160080	163800	其實真的沒有本質上的關係
163800	165640	營收是一個多維的東西
165640	167320	我就舉個例子
167320	169360	比如說
169360	170360	比如說
170360	174680	我要怎麼樣說這個東西又冒犯大家呢
174680	176400	你們覺得你們產品線算了
176400	178960	不說不拿你們舉例子
178960	181400	好
181400	183120	我先來看
183120	184600	有什麼東西是我們說的
184600	186080	是不冒犯
186080	187520	沒有
187520	192480	反正簡單來說
192480	195640	假如說你們友商的那種高級無人級專業品
195640	197960	它的這個畫質非常非常好
197960	200040	它的各方面非常非常強勁
200040	202320	或者是那種可以變形的或者什麼
202360	205600	但是它的銷量時裝不會和名品及食品
205600	208600	那包括飲食系列的Pro系列其實也是一樣的
208600	210040	為什麼Pro系列不能更新
210040	212160	因為Pro系列它是一個好的作品
212160	213560	但它不能賺錢
213560	215360	飲食到了現在這個階段
215360	217760	我覺得也會意識到它是一個大同它的品牌
217760	221080	只能做一個讓售中越來越多的產品
221080	223080	而不能做一個售中越來越小的產品
223080	225560	所以各位在研發的時候也得時刻思考
225560	227000	我的觸達是多少
227000	229880	為什麼這幾年飲食曲風會有本身會有很大的增長
229880	232840	因為我們在三年前有了一個思維上的轉變
232840	237280	就是你的你想的事情越大
237280	239000	你想要觸達的人越多
239000	242040	會直接影響到你接下來的動作和行為
242040	245280	我們以前覺得我們是一家做科技評測的頻道
245280	248960	那我們的售中可能全國算下來只有400萬人
248960	251400	然後我們覺得也許我們不能做這麼少的內容
251400	254640	我們開始做自然社科人文科普類的內容
254640	258280	我們發現中國大概有1億人會對這個內容感興趣
258280	260520	然後我們發現我們的賬號開始興致的增長
260520	262760	我們的各方面都開始開始增長
262760	265280	但是到後面我們發現
265280	269080	這也許並不是我們能夠做的更大的想法
269080	271760	所以我們開始像影視像Singapore
271760	274320	我們去思考到底什麼內容
274320	276960	能讓所有年齡段的人類都能看
276960	278520	並且能夠跨語言
278520	280720	那看起來似乎只有綜藝這條路
280720	283880	尤其是真實性綜藝這種路
283880	285280	是大多數人愛看的
285280	287360	所以我們開發了我們的荒島生存
287360	289040	我們的各種直播系列
289040	290160	那到了這個系列
290160	292880	我們的售中已經增加到了10億人左右
292880	294240	就潛在的用戶
294240	297680	所以你會看到我們的增長也確實是和這個相關聯的
297680	299640	就是增長的非常大的興趣
299640	302040	所以本質上好作品和賺錢
302040	303760	不存在直接關聯
303760	305400	然後這個點也很重要
305400	307120	Do stupid thing win stupid prize
307120	310320	就是你做蠢事你就會贏到一個很蠢的獎
310320	312720	對於大企業來說更是這樣
312720	316360	一個決策很有可能就會導致所有人一起幹很蠢的事情
316360	318680	所以我覺得這可能是很難的一點
318680	320880	這是這兩年我們感受越來越深了
320880	324760	一個簡單的決策會導致一個很災難性的後果
324760	329800	所以就是只能各位在做的時候思考一下不要做蠢事
329800	332080	因為你會贏得的只有存獎
332080	335240	這也是我們企業的得出的一個結論
335240	336720	再往下還有什麼東西嗎
336720	340560	這個沒有人有空陪你無聊
340560	341920	這個其實也很重要
341920	344000	因為我個人不喜歡講都是講特別長
344000	346040	所以你看到我語速特別特別快
346040	348840	因為我喜歡很高的信心密度
348840	350960	在這個時代你不管是視頻
350960	352360	還是別的給人講述
352360	354080	或者將來我不知道你們要創業
354080	356360	你們要去給別人做一個pitch
356360	358280	或者跟投資人講一個東西
358280	360480	你必須得成為一個有趣的人
360480	362400	沒有任何時間可以無聊
362400	365360	所以講究和幽默就是我們企業文化就很重要
365360	368560	那為了體現我們公司人有沒有漸行這個邏輯
368560	372320	各位你們想不想開一條我們公司人做的年會視頻
372320	373560	就是我們公司放的
373560	375360	從來沒有對外放印度
375360	376080	沒有人想看嗎
376080	377560	好嗎 教官
377560	379400	有嗎 有 好行
379400	380400	那我們放好不好
380400	383600	是他們做了一個我們年會2024年
383600	386480	他們做了一個評測我的視頻
386480	388360	我們來看一看
388360	390240	請導播中心幫我放了一下視頻
390240	391240	謝謝
397080	400520	這也是巨風2024年最新推出的千年
400520	402240	180年來的精神大小
402240	404040	130記的精神內存
404040	405920	還有17當地的動作看不出來
405920	407360	而像你之前的版本
407360	410080	最大的精神在於曲的音質之際
410080	412280	是保留歲月的存在的技術
412280	413440	所以年會之際
413440	415400	讓我請你好看的音樂
415400	416440	看著耀天
416440	418280	要說你對自己是巨風的
418280	419880	聽著肉的音樂
434640	435520	在星際上
435520	436640	機身素材相比去年
436640	438120	有了很大的提升
438120	439400	正面手感柔軟的
439400	440880	但要注意平台通氣
440880	442040	背面較為硬實
442040	443760	但需要注意平台敖敖
443760	445320	今年推出的J-LOOK PRO
445320	446680	還是熟悉的搭配
446680	448960	輕薄機身配上濃郁的毛髮
448960	451480	以及可拆卸的雙目魚眼鏡頭
451480	453440	不常於去年討好性能的版本
453440	455760	也是非常討好性能的
455760	457320	顯得我已經不僅滿足了
457320	459640	新一筆新銘的銘利也強大了一筆
459640	460840	耀天跟星際版本
460840	462080	可以跟去年節目內容
462080	464000	舒服的模式是真的有養的
464320	465960	男老師 換我看看
465960	467040	我的支持
467040	468040	麻煩
468040	469960	放手的他也不需要太多的學習成分
469960	471400	只需要這樣輕輕一推
471400	474160	聽到一聲非常帶勁的開機音教徒後
474160	475560	我們就可以開始熟悉
476440	478720	音樂素質就是最可供的一部分
478720	481200	我們全新推出五萬幅PD快速版本
481200	482440	只需要這樣輕鬆
484240	485560	學好瞬間拉滿
486200	487360	Now back to James
494360	496720	音質方面不同於之前的氣泡版中的音
496720	498200	因為我不滿
498200	500360	今年的想法更加同意所愛
500360	502520	增加了非常多豐富的音效模式
505520	506160	I'm going to do it
506160	507000	G-Master
507000	507840	I'm gonna do it
507840	509840	那最後我們來休息一下價值
509840	510840	今年也是巨峰
510840	512760	還是提供了三個版本來更有選擇
512760	514640	除了基礎款的天鋒鋪肉之外
514640	516280	我們還有更為珍貴的
516280	517640	水苗ARCHER
517640	519160	我們還有更為珍貴的
519160	520200	水苗ARCHER
520200	521720	我們還有更為珍貴的
521760	523720	以及價格更為清淡
523720	524960	張揚美妮
524960	526600	至於研究了什麼性質
526600	528600	那就等你自己來參選
531600	533920	咱們對家裏這樣如此巨量如此來說
533920	535160	今年在更新
535160	536560	算說還不錯
536560	538160	但是你難得會要問一句
539960	540960	還有啥
552720	554960	那就是全新的四華功能
554960	556280	只要將會議三配件
556280	557280	是一臂面
558160	559520	但是可以申請各種效能
559520	560640	尤其別為清華
560640	562080	還有廣大功能才無的
562080	562920	一個是四華
562920	564520	讓大家看幾張VCR
567240	569720	當它反過來說
569720	571960	當你看著我們那時候有個歷史
573160	574560	變化禮盒
574560	576040	英雄小人
